"Gene","GSM466408","GSM466409","GSM466410","GSM466411","GSM466412","GSM466413","GSM466414","GSM466415","GSM466416","GSM466417","GSM466418","GSM466419"
"COX2",3.98707096331987,3.99623104656043,4.01428049765636,4.02248002991857,4.00371888069442,3.99038990746574,3.9799929087201,3.9712938189539,4.03598290963075,4.01551030692473,3.99014957919591,3.99652703515608
"Mbp",4.01938945263367,3.98965055192847,3.99841934637502,3.99837578633634,3.99680234199395,3.98941685385155,4.00106965028104,3.98927896289391,4.01906282533556,4.00502137794276,3.9873155308586,4.00097284186147
"CYTB",3.97105249333064,3.96751040090204,3.97588506464915,3.99519642687946,3.96704596862953,3.95871671550931,3.96710812192082,3.9429556220141,4.00855941093044,3.97566102066912,3.9603016125501,3.96169395657365
"Apoe",3.98589663066975,3.97242032374882,3.94831283383024,3.96626636802542,3.96703695837101,3.95516369648094,3.98285616701568,3.96441946009604,3.93529645283074,3.97559960250915,3.94225678461423,3.96486269131642
"COX1",3.93994925274577,3.94317703486454,3.95723565831176,3.97937947562263,3.95578221772098,3.93424230969153,3.93252271549788,3.92987058987937,3.99206370786003,3.96854834842646,3.94283528001228,3.95267568031683
"ND1",3.94280247418436,3.93512799069832,3.94218451503616,3.97565515444633,3.95300379879994,3.93411765686587,3.93544083046041,3.92461173868167,3.98495575201681,3.95346979289502,3.93664926947273,3.94298928828519
"Plp1",3.93502858819012,3.93560777675185,3.95992566397774,3.95706747777455,3.94929114458137,3.9404665517741,3.92949556146145,3.93118343692738,3.98097961621224,3.9509240677139,3.9421192259427,3.94495816912398
"Atp1b1",3.93782240155919,3.93635770625724,3.96626301285711,3.95639628809972,3.94861374292423,3.95250355857975,3.9370881573047,3.92752497070231,3.95918534095377,3.94755137616248,3.94039108668679,3.94266404336903
"Gfap",3.93728303487116,3.92526911330877,3.93068874109927,3.92999272709732,3.9328468216513,3.9165206173035,3.97451570409778,3.9448249589681,3.98247985096011,3.96472615703695,3.94733980433425,3.95081236073044
"Aldoc",3.95770724041762,3.94230590986793,3.94778620029788,3.96756685630867,3.93197662602944,3.92638299725534,3.95324443015425,3.93220647320822,3.90726448409254,3.95521306319275,3.9150925689913,3.92531223975002
"ND2",3.93036728944327,3.9260067278762,3.93884378202309,3.95930504010779,3.94271130648433,3.91772156953663,3.89787160696012,3.90812689877664,3.97762236583389,3.95222222012606,3.92615160916058,3.92676034009734
"Nefh",3.94600364934325,3.90090020085356,3.93677163024278,3.97100817636956,3.94192330244487,3.89844476482609,3.91140710037688,3.94656280912679,3.92443500340184,3.94467094509822,3.89073812849854,3.89712209745922
"Hbb",3.91494784581174,3.98622660257354,3.88084088525937,3.94322469853244,3.9677623941636,3.87487218076654,3.94705267902882,3.92477891489942,3.92072404617544,3.93847154879172,3.89016794349121,3.88164429714388
"Zwint",3.93289818593264,3.91856756657255,3.93428075123941,3.92143796278749,3.91304574989519,3.91001582892112,3.92787643406346,3.89585575102032,3.93839876751593,3.92915617164878,3.91175200508487,3.92657539921877
"Cd81",3.91574611377763,3.91896870706523,3.92099870661121,3.92220557573961,3.91796093644737,3.90415284695987,3.92468253883283,3.91430283525384,3.93134613803021,3.92049626950393,3.90756297619978,3.91887917121679
"Bcat1",3.90536025338294,3.91839709469314,3.92735303642643,3.92192708832349,3.90915357118791,3.90885028957767,3.90813671508085,3.91247377542484,3.91709145692256,3.92325536728835,3.90369840085084,3.91649618374665
"App",3.8886392240354,3.8945533646092,3.9056759228403,3.90055823961921,3.90088646906381,3.89360292755178,3.88747942252939,3.88068764571765,3.91458264221397,3.89368959257563,3.88345754108056,3.90249092197877
"Calm2",3.8693303404693,3.88636731633177,3.90940613299443,3.90622711208454,3.89594137566161,3.89788207688744,3.87928273195465,3.86998213913373,3.89994689385511,3.90069201180931,3.89207602642628,3.89249817288676
"Ndrg4",3.90575858625764,3.89705050115277,3.90405194818701,3.88484960487658,3.8831235657711,3.87721040506003,3.90687889049527,3.88329498259272,3.89730492325215,3.89415524300117,3.8739140565371,3.88727511400376
"Cox8a",3.90852417943535,3.88025888184243,3.88996034757745,3.92375218750431,3.88592927152335,3.87459870807973,3.89799489816359,3.89530015381851,3.89045089721051,3.90032056181008,3.85923621048183,3.87405168487241
"Gnas",3.91726914943528,3.89786341427126,3.88459819839382,3.89456305641396,3.87949172777247,3.87874987493326,3.90244905865649,3.87447570183667,3.89303789025335,3.88363123082509,3.86608080981919,3.90433696922437
